player_id,F_name,L_Name,position,height,weight,birth_year,college,draft_round,draft_position,draft_year,current_salary
5,Jared,Abbrederis,WR,6-1,195,1990,Wisconsin,5,176,2014,"615,000"
10,Ameer,Abdullah,RB,,198,1993,Nebraska,2,54,2015,"687,830"
60,Davante,Adams,WR,,212,1992,Fresno St.,2,53,2014,"956,373"
71,Jerell,Adams,TE,,244,1992,South Carolina,6,184,2016,"540,000"
72,Joe,Adams,WR,,177,1989,Arkansas,4,104,2012,
90,Rodney,Adams,WR,,189,1994,South Florida,5,170,2017,"465,000"
108,Joseph,Addai,RB,,210,1983,LSU,1,30,2006,
137,Nelson,Agholor,WR,,190,1993,USC,1,20,2015,"1,287,489"
143,Roberto,Aguayo,K,,207,1994,Florida St.,2,59,2016,
153,Sam,Aiken,WR,,204,1980,North Carolina,4,127,2003,
160,Jay,Ajayi,RB,,216,1993,Boise St.,5,149,2015,"615,000"
210,Dan,Alexander,RB,,257,1978,Nebraska,6,192,2001,
242,Shaun,Alexander,RB,5-11,225,1977,Alabama,1,19,2000,
259,Mario,Alford,WR,,177,1992,West Virginia,7,238,2015,
269,Anthony,Allen,RB,,223,1988,Louisville,7,225,2011,
275,Brian,Allen,RB,,205,1980,Stanford,6,204,2002,
289,Dwayne,Allen,TE,,255,1990,Clemson,3,64,2012,
309,Javorius,Allen,RB,,220,1991,USC,4,125,2015,"615,000"
317,Keenan,Allen,WR,,206,1992,California,3,76,2013,
342,Aundrae,Allison,WR,,198,1986,East Carolina,5,146,2007,
373,Jace,Amaro,TE,,265,1992,Texas Tech,2,49,2014,
427,Courtney,Anderson,TE,,270,1980,San Jose St.,7,245,2004,
432,David,Anderson,WR,,195,1983,Colorado St.,7,251,2006,
434,Derek,Anderson,QB,,229,1983,Oregon St.,6,213,2005,"1,550,000"
473,Mike,Anderson,RB,6-0,230,1973,Utah,6,189,2000,
489,Scotty,Anderson,WR,6-2,191,1979,Grambling St.,5,148,2001,
536,Mark,Anelli,TE,,265,1979,Wisconsin,6,201,2002,
541,Richard,Angulo,TE,,260,1980,West. New Mexico,7,254,2003,
582,Dri,Archer,WR,5-8,173,1991,Kent St.,3,97,2014,
644,Devin,Aromashodu,WR,,202,1984,Auburn,7,233,2006,
647,Adrian,Arrington,WR,,185,1985,Michigan,7,237,2008,
648,J.J.,Arrington,RB,,214,1983,California,2,44,2005,
656,Cameron,Artis-Payne,RB,,212,1992,Auburn,5,174,2015,"615,000"
741,David,Ausberry,WR,,235,1987,USC,7,241,2011,
